,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.0017791270001907833,0,0,34,0,True,23,5,2,4,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.001975337999738258,0,0,31,0,True,24,3,2,2,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.0014574709998669277,0,0,30,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0019717749996743805,0,0,37,0,True,25,4,0,4,4,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0019884180001099594,0,0,38,0,True,22,7,0,5,4,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.001942734999829554,0,0,30,0,True,22,5,2,1,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0017963889999919047,0,0,38,0,True,19,9,5,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.0025935950002349273,0,0,36,0,True,22,6,4,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.002071170000363054,0,0,33,0,True,20,8,2,2,1,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0017722919997140707,0,0,35,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.0018435990000398306,0,0,35,0,True,21,8,4,2,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.0025752460001058353,0,0,36,0,True,20,8,4,3,1,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0017511020000711142,0,0,42,0,True,23,7,0,7,5,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0022257339996940573,0,0,40,0,True,25,5,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.0021452789997056243,0,0,36,0,True,23,6,0,4,0,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.0018101880000358506,0,0,35,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.002711137999995117,0,0,39,0,True,22,7,5,4,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.001917154000238952,0,0,38,0,True,21,8,0,4,2,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0017876900001283502,0,0,39,0,True,22,5,4,7,1,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.002005459999963932,0,0,36,0,True,23,6,0,3,4,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.002313187999789079,0,0,37,0,True,21,9,3,4,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0021021839997956704,0,0,32,0,True,25,4,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.0024536270002499805,0,0,31,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.002774223999949754,0,0,37,0,True,21,8,5,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.003107065999756742,0,0,39,0,True,21,7,0,10,1,0
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.002414435999980924,0,0,34,0,True,23,6,0,5,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.0026356040002610825,0,0,34,0,True,18,10,0,6,0,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.002428776999749971,0,0,36,0,True,21,6,4,5,0,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,1,7,0.002224526000190963,0,0,37,0,True,22,7,2,1,2,3
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,1,6,0.003286015999947267,0,0,35,0,True,22,8,4,1,0,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,1,8,0.0030541219998667657,0,0,34,0,True,20,8,2,3,1,0
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,1,10,0.004202550000172778,0,0,33,0,True,23,3,0,6,1,0
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,1,7,0.003229269000257773,0,0,37,0,True,22,7,2,5,1,0
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,1,7,0.004463907000172185,0,0,33,0,True,24,5,2,2,0,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,1,6,0.005207691999657982,0,0,36,0,True,22,8,2,4,0,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,1,7,0.0032713049999983923,0,0,36,0,True,21,8,0,7,0,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,1,6,0.005198167999878933,0,0,38,0,True,22,8,2,6,0,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,1,5,0.003040389000034338,0,0,39,0,True,24,7,3,5,0,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,1,6,0.003437381999901845,0,0,39,0,True,24,6,2,7,0,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,1,7,0.0027408660002947727,0,0,35,0,True,20,9,4,2,0,0
